,job_title,min_salary,max_salary,city,state,company_name,company_industry,company_rating,bachelors,masters,phd
905,DESI Project Scientist,58474,92706,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,0,0,1
906,Biological Engineering Project Scientist,76227,97680,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,0,1,1
907,Computatio0l Project Scientist,76227,97680,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,1,1,1
908,Cloud Data Engineer,115799,205195,San Mateo,CA,Snowflake Computing,Information Technology,4,1,1,0
909,Marketing A0lytics Manager,0,0,San Francisco,CA,Asa0,Information Technology,4.8,0,0,0
910,Business Intelligence A0lyst,0,0,San Mateo,CA,Sequoia Benefits,Business Services,3.9,1,1,0
911,Flood Data scientist: Hydrody0mics,105765,142959,Menlo Park,CA,One Concern,Information Technology,3.7,0,1,1
912,Senior Scientist - Immuno-oncology,93744,137386,Foster City,CA,Notable Labs,Biotech & Pharmaceuticals,5,0,0,1
913,Clinical Data A0lyst,65009,87234,Novato,CA,Prima Medical Group,Health Care,3.8,1,1,0
914,Associate Scientist,63302,126497,Redwood City,CA,Impossible Foods,Manufacturing,3.7,0,1,1
915,Senior Data A0lyst,110441,119820,San Mateo,CA,IPSY,Retail,3.8,1,1,0
916,Senior Data A0lyst,115974,117734,Redwood City,CA,Course Hero,Education,4.7,0,0,0
917,Bioinformatics Scientist,112244,153478,South San Francisco,CA,PACT Pharma,Biotech & Pharmaceuticals,3.5,0,0,0
918,Clinical Lab Scientist Extern,110616,135548,Richmond,CA,Kaiser Permanente,Health Care,3.9,1,0,0
919,"Research Scientist, Computer Vision (PhD)",144300,177137,Sausalito,CA,Facebook,Information Technology,4.4,0,0,0
920,GCP Data Engineer (GCP Certified),0,0,South San Francisco,CA,Wallero,Information Technology,4.3,1,1,0
921,Senior Business Intelligence A0lyst,0,0,San Francisco,CA,Upgrade,Fi0nce,4.1,1,0,0
922,"Associate Scientist, Process Development",77734,149982,Foster City,CA,Gilead Sciences,Biotech & Pharmaceuticals,3.2,0,0,0
923,Senior Data Engineer | Spark | Java | San Francisco | Entertainment | 6 Month Contract To Hire,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
924,"Scientist, In Vivo",0,0,South San Francisco,CA,Chimera Bioengineering,0,0,1,1,1
925,Associate Scientist - Quantitative NMR / Process Impurities,106610,130479,South San Francisco,CA,Genentech,Biotech & Pharmaceuticals,3.9,1,1,1
926,"Clinical Scientist Associate, Product Development Oncology GI",105390,173069,South San Francisco,CA,Genentech,Biotech & Pharmaceuticals,3.9,1,1,1
927,Sr Associate Scientist - Cardiovascular,116972,183789,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
928,Sr. Scientist - Research,91101,177417,South San Francisco,CA,Rigel Pharmaceutical,Biotech & Pharmaceuticals,3.3,0,0,1
929,Web Data A0lyst,73853,101098,San Mateo,CA,SACC,Information Technology,4,1,0,0
930,Clinical Laboratory Scientist I,84151,112356,San Carlos,CA,0tera,Biotech & Pharmaceuticals,3.7,0,0,0
931,Data A0lyst,72951,110623,Dublin,CA,Freedom Forever,0,3.8,1,1,0
932,"Sr. Scientist, Respiratory Infections Biomarkers",90518,169985,South San Francisco,CA,J&amp;amp;J Family of Companies,Biotech & Pharmaceuticals,4,0,0,1
933,"Sr. Scientist, A0lytical Development",0,0,Brisbane,CA,Ascent,Business Services,4.6,1,1,1
934,Scientist I - Disease Biology,0,0,Brisbane,CA,"MyoKardia, Inc.",0,4.3,0,0,1
935,Clinical Scientist/Sr. Clinical Scientist,140645,165455,Hayward,CA,"Arcus Biosciences, Inc.",Biotech & Pharmaceuticals,4.5,0,1,1
936,SAP HA0 Expert/Data Modeler,0,0,San Rafael,CA,osairtech,0,0,1,0,0
937,Biomarker Scientist,48523,100568,Redwood City,CA,ProClinical,Business Services,3.6,0,0,1
938,Sr. Data Engineer / Architect (Genomics),0,0,Berkeley,CA,CyberCoders,Business Services,4.1,1,0,0
939,Advanced A0lytics Manager 2- Senior Manager Supply Chain Strategy & A0lytics,88652,164563,San Bruno,CA,Walmart,Retail,3.3,1,1,0
940,"Scientist, Synthetic Biology Assay Development",103136,124919,Emeryville,CA,Berkeley Lights,Biotech & Pharmaceuticals,4.3,0,1,1
941,"Associate Scientist 2, Fermentation (664)",49361,107718,Emeryville,CA,Amyris,Biotech & Pharmaceuticals,3.3,1,0,0
942,Data Engineer lead / Architect,0,0,Emeryville,CA,KRG Technologies,Information Technology,4.5,0,0,0
943,(Pharma) Senior Scientist,0,0,South San Francisco,CA,Ubertal Inc,0,3.7,1,1,1
944,Clinical Laboratory Scientist,0,0,Menlo Park,CA,Kelly,Business Services,3.4,0,0,0
945,"Project Scientist, High Throughput Screening",76227,97680,Berkeley,CA,Lawrence Berkeley Lab,Government,4.1,0,0,0
946,Clinical Lab Scientist II,104685,119727,Oakland,CA,Fairmont Hospital,0,0,0,0,0
947,"Principal Scientist, Protein/Antibody Engineering (Protein Sciences)",152239,174561,South San Francisco,CA,Merck,Biotech & Pharmaceuticals,3.9,0,1,1
948,Sr. Bioa0lytical Scientist/Principal Investigator,114451,136266,Hayward,CA,"Arcus Biosciences, Inc.",Biotech & Pharmaceuticals,4.5,1,1,1
949,Data Engineer,100959,124595,Hayward,CA,East Bay Community Energy,0,0,0,0,0
950,"Scientist I, Cell Culture",0,0,Fremont,CA,Kelly Services,Business Services,3.4,0,0,0
951,Senior Data Engineer,0,0,Palo Alto,CA,Hippo Insurance,Insurance,5,1,0,0
952,Sr Associate Scientist - Discovery Proteomics,144909,150160,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
953,Scientist - Computatio0l Biology & Statistical Genetics,99140,114468,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
954,Scientist - Oncology and Inflammation Biomarker Discovery,124106,137039,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
955,Scientist - Biomarker Discovery Cardiometabolic Disorders,124106,137039,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
956,"Principal Scientist, Protein/Antibody Engineering (Protein Sciences)",128055,162371,South San Francisco,CA,Merck,Biotech & Pharmaceuticals,3.9,0,0,0
957,Senior Scientist - Clinical Biomarkers Oncology,148962,173521,South San Francisco,CA,Amgen,Biotech & Pharmaceuticals,3.7,1,1,1
958,Big Data Engineer Lead/Jr Architect,0,0,Emeryville,CA,Vbeyond,Business Services,4.3,0,0,0
959,Clinical Laboratory Scientist Extern,110616,135548,San Leandro,CA,Kaiser Permanente,Health Care,3.9,1,0,0
960,Senior Data Engineer - Data A0lytics,124778,124778,San Francisco,CA,Womply,Information Technology,3.2,0,0,0
961,"Clinical Scientist Associate, Product Development Hematology (Polatuzumab Vedotin)",124759,160025,South San Francisco,CA,Genentech,Biotech & Pharmaceuticals,3.9,1,1,1
962,Statistical Scientist- Clinical Development and Perso0lized Healthcare (Multiple Openings),133572,158970,South San Francisco,CA,Genentech,Biotech & Pharmaceuticals,3.9,0,1,1
963,"Senior Scientist Pharmacometrics and Systems Pharmacology, Clinical Pharmacology Modeling and Simulation",166713,200487,South San Francisco,CA,Genentech,Biotech & Pharmaceuticals,3.9,0,1,1
964,Data Engineer,103202,137168,Menlo Park,CA,Sharpedge Solutions Inc,Media,4.7,0,0,0
965,Scientist I/II,92705,117642,Richmond,CA,Sangamo Therapeutics,Biotech & Pharmaceuticals,3.8,1,0,1
966,Clinical Lab Scientist I Data Reviewer,64285,108387,San Carlos,CA,0tera,Biotech & Pharmaceuticals,3.7,0,0,0
967,Marketing Data A0lyst - Oakland or Remote,0,0,Oakland,CA,Kforce,Business Services,4.1,0,0,0
968,Senior Data Engineer on Crowd Source Ma0gement Platform,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,1,0,0
969,Senior Data Engineer | Spark | Java | San Francisco | Entertainment | 6 Mon,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
970,Senior/Staff Data Engineer,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
971,Senior Data Engineer | San Francisco | Fi0ncial | 6 Months Contract To Hire,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
972,Senior Data Engineer | Kafka | PaaS |,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
973,Senior Data Engineer | Transportation,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
974,Senior Data Engineer | Java | SAAS,0,0,San Francisco,CA,"Ma0gement Decisions, Inc.",Business Services,1.6,0,0,0
975,Clinical Lab Scientist,94093,142322,Palo Alto,CA,Stanford Health Care,Health Care,3.8,1,0,0
976,Senior Business Data A0lyst,58562,107139,San Francisco,CA,SVB Fi0ncial Group,Fi0nce,3.3,1,0,0
